p_name,p_gender,p-emailid,p_dob,p_homeaddress,p_pincode,p_area
ton,male,aa@gmail.com,10/14/2005,hyd,518001,hyd
don,female,bif@gmail.com,10/14/1996,chn,50031,chn
mon,male,bfdn@gmail.com,1/14/1998,bgl,50032,bgl
son,female,bdd@gmail.com,11/14/1994,kol,518001,kol
asw,male,by@gmail.com,21/14/1990,knl,518083,knl
rith,female,bnh@gmail.com,7/14/1999,hyd,56032,hyd
cat,male,bty@gmail.com,20/14/1999,cob,50632,cob
gui,female,ber@gmail.com,16/14/1998,delhi,57032,delhi
harry,male,bui@gmail.com,19/14/1999,chn,50092,chn
potter,male,ber@gmail.com,13/14/1995,pune,56032,pune
sinu,male,bgf@gmail.com,8/14/1992,indore,50432,indore
ramu,male,brt@gmail.com,19/14/1998,tyu,50042,tyu
sita,female,byy@gmail.com,25/14/1993,knl,53032,knl
gita,female,byy@gmail.com,29/14/1994,leh,59032,leh
bunty,male,btr@gmail.com,30/14/2000,karna,50332,karna
